英語フレーズ,日本語
The staff was courteous.,スタッフは礼儀正しかった。
a fully furnished apartment,完全に家具が付いたアパート
highly knowledgeable about investments,投資について非常に知識が豊富な
artists and craftspeople,芸術家と職人
delete unnecessary files,不要なファイルを削除する
emerging markets,新興市場
enroll in an aerobics class,エアロビクスのクラスに入る
proficiency in English,英語のスキルの高さ
take the scenic route,眺めがいいルートを行く
state-of-the-art equipment,最新式の機器
French cuisine,フランス料理
a critically acclaimed movie,評論家に絶賛されている映画
a certified building inspector,資格を持った建物の検査官
cold medication,風邪の薬
give an overview,概略を説明する
heat-resistant glass,耐熱ガラス
give a superb presentation,素晴らしいプレゼンを行う
an array of books,ズラリと並んだ本
an informative seminar,役立つセミナー
nationwide delivery,全国配送
outdated TOEIC books,時代遅れのTOEIC本
a shareholders' meeting,株主総会
a travel voucher,旅行券
the restaurant adjacent to the hotel,ホテルに隣接したレストラン
in the previous correspondence,前回のやり取り
liquid detergent,液体洗剤
for the duration of the event,イベントの期間中
The machine is still functional.,その機械はまだちゃんと機能している。
hands-on training,実地の訓練
a three-day intensive training seminar,3日間の集中的な研修
a last-minute change,間際になっての変更
I'm thrilled to see you.,お会いできてとても感激しています。
a spectacular sunset,壮観な夕焼け
a young entrepreneur,若き起業家
an introductory course,入門コース
minimize costs and maximize profits,コストを最低限に抑え、利益を最大化する
a prestigious award,権威のある賞
a screening of a film,映画の上映
amenities such as gyms and swimming pools,ジムやプールといった娯楽施設
a lengthy process,長期にわたるプロセス
You will be compensated for the damage.,あなたは損害の補償を受けます。
I have misplaced my phone.,私は電話を紛失した。
a notable feature,注目すべき特徴
a subsidiary of a Japanese company,日本企業の子会社
authentic works of art,本物の芸術作品
a designated parking area,指定の駐車区域
cause disruption to traffic,交通の混乱を引き起こす
fragile items,こわれやすい物
an ongoing project,進行中のプロジェクト
publish a periodical,定期刊行物を出版する
call a plumber,配管工に電話する
incur a fine,罰金を受ける
oversee a department,部門を監督する
retrieve the data,データを取り出す
attend a class reunion,クラスの同窓会に参加する
a rigorous testing process,厳格な検査工程
specifications for the project,プロジェクトの仕様書
a tentative schedule,仮のスケジュール
an online tutorial,オンラインの指導書
an apprentice technician,技術者見習い
make a bid,入札を行う
discard old papers,古い書類を捨てる
family outings,家族でのお出かけ
an overwhelmingly positive response,圧倒的に好意的な反応
The proceeds will go to charity.,収益は慈善活動に回されます。
Please refrain from using mobile phones.,携帯電話のご利用はお控えください。
inclement weather,荒れた天気
novice cooks,料理の初心者
activate a credit card,クレジットカードを使えるようにする
personal anecdotes,個人の逸話
work in collaboration with others,他人と協力して作業する
commemorate an anniversary,記念日を祝う
a duplicate key,合鍵
during the intermission,休憩時間中に
recycle food waste to make fertilizer,肥料を作るため食品廃棄物をリサイクルする
proofread an article,記事を校正する
solicit donations,寄付を募る
unveil a new product,新商品を披露する
The rule is applicable to all employees.,その規則は全社員に適用されます。
a letter to commend an employee,従業員をほめるための手紙
The dessert complements the main dish.,そのデザートはメインディッシュに合う。
offer incentives to customers,お客様に動機付けを提供する
incorporate exercise into everyday life,毎日の生活に運動を取り入れる
Don't let your membership lapse.,会員資格が失効しないようにしてください。
a picturesque village,絵のように美しい村
prospective customers,見込み客
simplify a system,システムを簡素化する
surpass last year's sales,去年の売り上げを超える
surplus promotional materials,余分な販促物
withstand high temperatures,高温に耐える
an advocate for energy efficiency,省エネの提唱者
an aspiring writer,作家志望
assorted fruits and vegetables,詰め合わせの果物と野菜
excellent credentials as a scientist,科学者としての優れた経歴
interoffice mail,社内便
a machine malfunction,機械の故障
a mutually beneficial relationship,互いに利益になる関係
check the Web site periodically,ホームページを定期的にチェックする
copyright law,著作権法
affordable and nutritious dishes,手ごろな値段で栄養のある料理
obstruct the view,視界をさえぎる
abundant opportunities for career advancement,キャリアアップのためのあり余る機会
The weather in Auckland is quite agreeable.,オークランドの天気はとても快適です。
reach a compromise,妥協点に達する
continuous improvement of quality,絶え間ない質の改善
a dominant position in the market,市場での圧倒的なポジション
I was exhausted.,私は疲れ切っていた。
fierce competition,激しい競争
a prosperous town,栄えている町
the original quote,最初の提示価格
What is the man reluctant to do?,男性が気乗りしないことは何ですか。
a remedy for slow sales,不振の売り上げに対する改善策
be solely responsible for the decision,結論に一人で責任を持つ
Good communication is vital in the workplace.,良好なコミュニケーションが職場では不可欠だ。
revitalize a community,地域を再活性化する
Construction will commence in September.,建設作業は9月に始まる。
countless times,数えきれないほど何度も
devise a method,方法を考案する
execute a plan,計画を実行する
foster a good work environment,良い労働環境を促進する
initiate a negotiation,交渉を開始する
insight into the cause of the problem,問題の原因に対する洞察
The advertisement was misleading.,その広告は誤解を招く恐れがあった。
as a precaution,予防措置として
transparent glass,透明のガラス
The event coincides with my birthday.,そのイベントは私の誕生日と重なっている。
The report was clear and concise.,そのレポートは分かりやすく簡潔だった。
a delegation of engineers from Japan,日本からの技術者の代表団
receive a medical diagnosis,医療の診断を受ける
enforce a new policy,新しい規則を施行する
prove a hypothesis,仮説を証明する
different from the predecessor,前任者と異なる
prominently displayed in a magazine,雑誌に目立って掲載されている
adoption of a new method,新しい方法の採用
accelerate growth,成長を加速させる
adhere to a procedure,手順に忠実に従う
allocate sufficient funds for a project,プロジェクトに十分な資金を割り当てる
an appraisal of a house,家の査定
compile a list of participants,参加者のリストをとりまとめる
conform to international standards,国際基準に合わせる
due to time constraints,時間に制約があるため
minimize distractions at work,職場で注意の妨げになるものを最小限にする
facilitate a discussion,議論を促進する
The Internet is integral to our lives.,インターネットは我々の生活に不可欠だ。
interact with colleagues,同僚と交流する
My persistence paid off.,私の粘り強さが実った。
a sales quota,売上ノルマ
The parking lot was too congested.,駐車場は非常に渋滞していた。
deduct tax from payments,支払から税金を控除する
embrace an idea,考えを積極的に受け入れる
synthetic materials,合成素材
terminate a contract,契約を終了させる
detect an error,ミスを見つける
patiently answer questions,根気よく質問に答える
a male-female ratio of 1:5,１対5の男女比率
dietary restrictions,食事の制限
intentionally delay payments,意図的に支払いを遅らせる
give a persuasive speech,説得力のあるスピーチを行う
the subsequent years,その後の数年間
a thoughtfully written article,深く考えて書かれた記事
an abridged version,要約版
encourage employees to carpool,従業員に相乗りすることを奨励する
The software is compatible with your computer.,そのソフトはあなたのコンピュータと互換性があります。
This product is endorsed by celebrities.,この製品は有名人の推薦を受けている。
without explicit permission,明確な許可なしに
keenly aware of the risks,リスクに鋭く気付いている
a commemorative plaque,記念の盾
dilute paint with water,塗料を水で薄める
Members are exempt from the fee.,会員は料金を免除されます。
flower centerpieces,中心に置かれる花飾り
It's an oversight on our part.,それはこちらの見落としです。
We are privileged to work with you.,あなたとお仕事ができて光栄です。
prevent a problem from recurring,問題が再発することを防ぐ
skeptical about the possibility,可能性に懐疑的な
sustainable energy,環境に優しいエネルギー
ancient Egyptian artifacts,古代エジプトの工芸品
keynote address,基調演説
The room offers a breathtaking view.,その部屋は息をのむほどの眺めを提供しています。
work in a cubicle,個別の作業スペースで作業する
a power outage,停電
perishable food items,傷みやすい食品
an avid reader,熱心な読者
take a detour,回り道をする
expedite a process,処理を早める
in the vicinity of the station,駅の近辺
affiliated companies,提携している会社
a definitive TOEIC vocabulary book,TOEIC語彙の決定版の本
demolish a building,建物を解体する
a feasible plan,実現可能な計画
the inaugural issue of a magazine,創刊号
pay in monthly installments,月々の分割払い
Gift cards are redeemable for merchandise only.,ギフトカードは商品のみと交換可能です。
streamline the process,プロセスを簡略化する
sound insulation between rooms,部屋と部屋の間の防音
Everything arrived intact.,全てが無傷で届いた。
the occupancy rate of hotels,ホテルの稼働率
staff turnover,スタッフの離職率
unanimous approval,満場一致の承認
Road conditions will deteriorate.,路面の状況が悪化するだろう。
The table looks sturdy.,そのテーブルは頑丈に見える。
adverse health effects,健康面へのよくない影響
the bearer of this coupon,このクーポンの持参人
rising for an unprecedented eight months,前例のない8か月に渡っての上昇
botanical gardens,植物園
Salary will be commensurate with experience.,給与は経験に比例します。
for the third consecutive year,三年連続で
after long deliberation,熟慮の末
behave discreetly,分別を持って振る舞う
The position entails a lot of travel.,そのポジションは頻繁な出張が求められる。
temperature fluctuations,気温の変動
one of the foremost law firms,最高の法律事務所の一つ
It is imperative that we act now.,今行動することが必要だ。
attend a mandatory meeting,参加必須の会議に出席する
a meticulously created artwork,細心の注意を払って作られた芸術作品
a community outreach program,地域の支援プログラム
during my two-year tenure,私の2年間の在職期間中
a versatile person,多才な人
alleviate traffic congestion,交通渋滞を緩和する
an exemplary employee,模範的な社員
a gala dinner,祝賀ディナー
restore a mural,壁画を修復する
the proprietor of a clothing shop,洋品店のオーナー
a stagnant market,停滞した市場
stringent quality standards,厳しい品質基準
testimonials from customers,お客様からの推薦の声
the turnout for the concert,コンサートへの来場者数
We will waive the shipping charge.,送料は請求しません。
install a new faucet,新しい蛇口を取り付ける
make amendments to the contract,契約書に修正を加える
an anonymous donor,匿名の寄贈者
report potential fraud,詐欺の可能性を報告する
Tex was held liable for the damage.,テックスはその損害に関して法的責任があるとされた。
Be considerate of other people's feelings.,他人の気持ちに配慮しなさい。
consolidate two divisions into one,2つの部門を1つに統合する
a vigorous campaign,精力的なキャンペーン
plan a company retreat,社員研修旅行を計画する
a custodian at a resort,リゾートの管理人
forge a relationship,関係を築く
the impending change in leadership,間近に迫った指導者の交代
itemize travel expenses,出張旅費を項目分けする
a liaison between management and employees,経営陣と従業員の間の連絡係
The guest found the noise objectionable.,その宿泊客は騒音を不快に感じた。
repave a driveway,私道を再舗装する
address shortcomings,欠点に対応する
a financially viable option,財政的に実行可能な選択肢
sports memorabilia such as balls and photos,ボールや写真などのスポーツの記念品
deplete the budget,予算を使い果たす
The company is in jeopardy.,会社は危機にある。
for a nominal fee,ほんのわずかな費用で
deviate from the original plan,元々の計画からそれる
forfeit the deposit,保証金を没収される
bolster sales,販売を強化する
achieve optimal performance,最高のパフォーマンスを達成する
a purveyor of groceries,食料品の販売業者
sell raffle tickets,福引のチケットを販売する
poor ventilation,風通しの悪さ
through your unwavering efforts,皆さんの不断の努力で
Your vocabulary has grown exponentially.,皆さんの語彙は加速度的に増えました。
